"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim","successful_attack"
"57286","will forgive the flaws and love the film. ","will forgive the flaws and love the film","0.012","0.821","0.009","0.039","0"
"57286","will forgive the flaws and love the film. ","Will forgive the flaws and love the campaign.","0.0","0.0","0.039","0.039","0"
"25293","like a well-made pb & j sandwich ","Like a well-made :-made pb & j sandwich.","0.115","0.617","0.09","0.9","0"
"25293","like a well-made pb & j sandwich ","e.g.a.like it well.pb sandwich.","0.047","0.013","0.504","0.9","0"
"2552","provoke introspection in both its characters and its audience ","provoke introspection both in its characters and its audience.","0.053","0.906","0.041","0.014","0"
"2552","provoke introspection in both its characters and its audience ","provoke the introspection, both its characters and its audience.","0.039","0.685","0.029","0.014","0"
"14064","be transported into the life of wladyslaw szpilman, who is not only a pianist, but a good human being ",", Travel be transported into the life of wladyslaw szpilman. Not only a pianist, and yet a good human.","0.01","0.064","0.008","0.002","0"
"14064","be transported into the life of wladyslaw szpilman, who is not only a pianist, but a good human being ","Be transported into the life of wladyslaw szpilman, who is not only an pianist - but a good human being.","0.0","0.884","0.0","0.002","0"
"38458","it's a compelling and horrifying story, and ","it’s a compelling and horrifying story.","0.369","0.815","0.312","0.167","0"
"38458","it's a compelling and horrifying story, and ","it VI radio :","0.009","0.002","0.397","0.167","0"
"61768","that keep this nicely wound clock not just ticking, but humming ","that keeps this, not just ticking, but humming.","0.284","0.117","0.543","0.029","0"
"61768","that keep this nicely wound clock not just ticking, but humming ","That keep this nicely wound clock not just ticking, but humming´","0.066","0.283","0.052","0.029","0"
"17448","everybody loves a david and goliath story, ","Everybody loves a david and goliath story,","0.017","0.985","0.013","0.013","0"
"17448","everybody loves a david and goliath story, ","Everybody loves a David and Eleigh story,","0.0","0.0","0.041","0.013","0"
"47040","will stand in future years as an eloquent memorial to the world trade center tragedy ","will stand in future years, moreover, as an eloquent memorial to the World Trade Center tragedy.","0.001","0.728","0.001","0.01","0"
"47040","will stand in future years as an eloquent memorial to the world trade center tragedy ","26/55/995. The brand will serve as an eloquent memorial to the World trade center tragedy,","0.0","0.589","0.0","0.01","0"
"52521","a keep - 'em - guessing plot and an affectionate take on its screwed-up characters. ","a keep-hes and an affectionate take on its Madd�Em'', variants","0.045","0.068","0.04","0.008","0"
"52521","a keep - 'em - guessing plot and an affectionate take on its screwed-up characters. ","a keep-ookyino plot and an affectionate overture on its screwed-up characters.","0.024","0.157","0.019","0.008","0"
"48532","( macdowell ) ventures beyond her abilities ","( macdowell ) ventures beyond her abilities.","0.31","0.582","0.268","0.176","0"
"48532","( macdowell ) ventures beyond her abilities ","( kelly, macdowell ) venture beyond her abilities","0.151","0.268","0.132","0.176","0"
"40794","ferrara's best film in years "," ferrara's best film in years","0.051","0.283","0.04","0.04","0"
"40794","ferrara's best film in years ","Moreover, “ferrara o submit Film in Years","0.031","0.015","0.048","0.04","0"
"65138","( it's ) what punk rock music used to be, ","( it ``'s what punk rock music used to be,","0.291","0.934","0.236","0.154","0"
"65138","( it's ) what punk rock music used to be, ","( It's ) What punk rock music used to be.","0.194","0.96","0.154","0.154","0"
"13220","the rich performances by friel -- and especially williams, an american actress who becomes fully english -- round out the square edges. ","The rich performances of Frielera, and especially Williamiams, an American actress whobecishes fully English -- round the square edges","0.244","0.587","0.204","0.001","0"
"13220","the rich performances by friel -- and especially williams, an american actress who becomes fully english -- round out the square edges. ","The rich performances by friel -- and especially williams, an american actress who becomes fully English -- round out stars next. ","0.002","0.842","0.002","0.001","0"
"2177","judging by those standards, ` scratch'is a pretty decent little documentary. ","judging by those standards, `` scratch `` is a pretty decent little documentary.","0.048","0.782","0.037","0.198","0"
"2177","judging by those standards, ` scratch'is a pretty decent little documentary. ","`` Scrapes '' impressed by those standards.","0.045","0.085","0.039","0.198","0"
"12275","i'm going to recommend secretary, based on the wonderful acting clinic put on by spader and gyllenhaal ","[ i'm going to recommend SecretaryHuman","0.22","0.09","0.423","0.0","0"
"12275","i'm going to recommend secretary, based on the wonderful acting clinic put on by spader and gyllenhaal ","I'm going to recommend secretary, based on the wonderful clinic put on by spader and gyllenhaal","0.004","0.352","0.003","0.0","0"
"21633","this one is not nearly as dreadful as expected. ","This one is not nearly as dreadful as expected.","0.981","0.956","0.989","0.989","0"
"21633","this one is not nearly as dreadful as expected. ","This one is not nearly as dreadful as expected.","0.981","0.956","0.989","0.989","0"
"29485","unrelentingly grim -- and equally engrossing ","unrelentingly grim -- and relatively engrossing","0.483","0.752","0.431","0.002","0"
"29485","unrelentingly grim -- and equally engrossing ","unrelentingly grim -- and equally engrossing.","0.203","0.892","0.161","0.002","0"
"11601","it's funny and human and really pretty damned wonderful, all at once. ","it #'s funny and human and really pretty wonderful, all at once.","0.013","0.045","0.01","0.111","0"
"11601","it's funny and human and really pretty damned wonderful, all at once. ","it's funny and human and really pretty dreadful.","0.0","0.0","0.115","0.111","0"
"4927","( russell ) makes good b movies ( the mask, the blob ), and the scorpion king more than ably meets those standards ","( russell ) makes good b movies ( the mask, theGGGGGGGG, the blob ), and the scorpion king more than meets those standards","0.158","0.762","0.125","0.008","0"
"4927","( russell ) makes good b movies ( the mask, the blob ), and the scorpion king more than ably meets those standards ","( russell ) shows a good zombie movie ( the mask, the blob ) and the scorpion king more than ably meets those standards","0.009","0.262","0.007","0.008","0"
"67021","coy but exhilarating, with really solid performances by ving rhames and wesley snipes. ","Coy, but exhilarating.","0.17","0.061","0.413","0.003","0"
"67021","coy but exhilarating, with really solid performances by ving rhames and wesley snipes. ","coy, but exhilaratingly, with really decent performances by ving rhames and wesley snipes.","0.006","0.882","0.004","0.003","0"
"12127","boasts a handful of virtuosic set pieces ","boasts a handful of virtuelosic foamyized pieces.","0.289","0.112","0.613","0.069","0"
